Neighbourhood,Total_listings
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,1890
ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,845
ΝΕΟΣ ΚΟΣΜΟΣ,724
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,701
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,579
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,398
ΠΑΓΚΡΑΤΙ,385
ΚΟΛΩΝΑΚΙ,340
ΑΜΠΕΛΟΚΗΠΟΙ,326
ΑΚΡΟΠΟΛΗ,319
ΘΗΣΕΙΟ,301
ΚΕΡΑΜΕΙΚΟΣ,240
ΠΕΤΡΑΛΩΝΑ,233
ΣΤΑΔΙΟ,223
ΚΥΨΕΛΗ,209
ΙΛΙΣΙΑ,170
ΓΟΥΔΙ,159
ΖΑΠΠΕΙΟ,139
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,124
ΠΑΤΗΣΙΑ,115
ΛΥΚΑΒΗΤΤΟΣ,114
ΝΙΡΒΑΝΑ,104
ΓΚΥΖΗ,88
ΓΚΑΖΙ,82
ΠΕΔΙΟ ΑΡΕΩΣ,80
ΚΟΛΩΝΟΣ,80
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,77
ΑΝΩ ΚΥΨΕΛΗ,72
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,67
ΒΟΤΑΝΙΚΟΣ,63
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,61
ΝΕΑ ΚΥΨΕΛΗ,59
ΑΝΩ ΠΑΤΗΣΙΑ,58
ΓΟΥΒΑ,53
ΕΛΛΗΝΟΡΩΣΩΝ,44
1Ο ΝΕΚΡΟΤΑΦΕΙΟ,35
ΣΕΠΟΛΙΑ,28
ΠΟΛΥΓΩΝΟ,24
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,22
ΚΟΛΟΚΥΝΘΟΥ,18
ΡΙΖΟΥΠΟΛΗ,10
ΠΡΟΜΠΟΝΑ,9
ΡΗΓΙΛΛΗΣ,3
ΠΕΝΤΑΓΩΝΟ,2
neighbourhood,1
